,G,3PAr,FTr,TOV_pct_,OWS,DBPM,OWS_p_48,DWS_p_48,Year_3PAr,Reb_p_Vers,Defense,Val_p_Shot,_pct_Min,RAW_Contrib,Tm_Sum,Reb_p_Vers_1,Defense_1,MPG,Tm_Sum_1,Tm_Adj_1,Tm_DRtg,OStdErr,Dcontrib_1,Production,ProddashGm,True_Salary,Adjusted_Production,Yrs_Experience,Playoffs
670,80,0.004,0.335,26.3,-1.5,3.3,-0.026000000000000002,0.094,0.031,-1.33,-0.33,-0.23,0.7,-0.37,2.97,-0.8,-0.5,0.4,1.0,-0.3,4.1,1.4,2.5,6800000.0,6900000.0,9000000.0,6100000.0,6.0,1
671,80,0.051,0.348,16.1,4.0,-0.9,0.07,0.033,0.031,0.71,0.15,0.31,0.7,0.15,-3.54,-0.1,0.3,0.4,-0.6,-0.6,-0.9,1.4,-0.7,7300000.0,7500000.0,7100000.0,6100000.0,3.0,0
672,78,0.267,0.18100000000000002,12.7,4.6,-0.9,0.08,0.018000000000000002,0.031,-1.5,0.49,0.19,0.7,1.23,-1.22,-0.6,0.3,0.5,2.4,-0.3,-4.4,1.4,-0.6,11000000.0,11500000.0,10300000.0,10500000.0,7.0,0
673,80,0.0,0.7390000000000001,18.8,8.3,1.6,0.145,0.069,0.031,0.65,-0.59,0.24,0.69,2.82,1.84,0.9,-0.2,0.4,3.5,0.2,3.1,1.4,1.2,24700000.0,25300000.0,21200000.0,25900000.0,2.0,1
674,82,0.0,0.45799999999999996,16.4,2.1,0.3,0.037000000000000005,0.069,0.031,-1.24,-1.02,-0.08,0.69,-1.04,1.54,-0.6,-0.3,0.3,1.7,-0.3,2.9,1.4,0.1,3900000.0,3900000.0,6200000.0,3200000.0,5.0,1
675,77,0.006999999999999999,0.29,11.5,8.0,0.7,0.14300000000000002,0.063,0.031,1.72,-0.03,0.16,0.68,3.2,1.95,0.9,0.0,0.5,2.7,-0.2,2.2,1.4,0.5,23600000.0,25100000.0,20200000.0,25200000.0,2.0,1
676,82,0.04,0.213,12.1,2.4,-0.9,0.043,0.032,0.031,-0.42,-0.22,0.05,0.67,-0.48,-2.92,-0.3,0.2,0.3,1.9,0.0,-1.1,1.4,-0.7,7100000.0,7100000.0,7600000.0,6200000.0,8.0,0
677,76,0.02,0.23800000000000002,10.4,6.0,-1.7,0.10800000000000001,0.021,0.031,-1.79,0.33,0.09,0.67,0.22,-1.01,-0.7,0.3,0.5,2.6,0.2,-2.7,1.4,-1.2,9000000.0,9600000.0,10200000.0,8800000.0,9.0,1
678,68,0.002,0.415,13.5,9.5,-1.8,0.17,0.019,0.031,0.63,-0.49,0.21,0.68,3.14,-1.84,0.4,0.0,0.7,-0.3,-0.2,-4.9,1.4,-1.3,18700000.0,22300000.0,16600000.0,20000000.0,3.0,0
679,82,0.068,0.239,20.3,0.5,-0.7,0.009000000000000001,0.035,0.031,0.53,0.31,0.15,0.67,-0.73,-1.89,-0.1,0.2,0.3,0.0,-0.2,-1.7,1.4,-0.6,3100000.0,3100000.0,4300000.0,2400000.0,4.0,0
680,82,0.003,0.35,11.3,6.3,0.4,0.113,0.040999999999999995,0.031,-0.51,-1.2,0.07,0.67,1.24,-2.92,-0.1,-0.3,0.3,1.9,0.0,-1.1,1.4,0.3,15100000.0,15100000.0,14000000.0,16200000.0,8.0,0
681,82,0.013000000000000001,0.20199999999999999,14.8,0.9,1.6,0.017,0.045,0.031,-1.69,1.63,-0.16,0.68,0.97,-2.76,-0.3,-0.2,0.3,-1.8,-0.5,-3.2,1.4,1.2,8400000.0,8400000.0,6500000.0,6800000.0,1.0,0
682,82,0.071,0.336,12.0,7.7,-1.5,0.139,0.05,0.031,-0.39,-0.03,0.32,0.68,1.32,1.54,-0.5,0.1,0.3,1.7,-0.3,2.9,1.4,-1.1,14700000.0,14700000.0,14300000.0,15700000.0,7.0,1
683,82,0.047,0.254,18.6,0.1,0.9,0.002,0.07200000000000001,0.031,1.35,2.18,0.21,0.67,0.6,1.66,0.0,0.7,0.3,0.6,-1.0,2.9,1.4,0.6,8400000.0,8400000.0,8200000.0,7600000.0,2.0,0
684,80,0.004,0.473,15.6,5.2,1.9,0.09300000000000001,0.07200000000000001,0.031,0.52,0.26,0.08,0.67,2.65,-0.32,0.8,-0.3,0.4,0.3,-0.5,1.0,1.4,1.4,19100000.0,19600000.0,16200000.0,20500000.0,6.0,1
685,82,0.025,0.379,16.2,3.7,1.3,0.068,0.064,0.031,3.23,1.7,0.11,0.67,3.03,5.23,1.4,0.3,0.3,4.0,-0.7,-0.9,1.4,1.0,17600000.0,17600000.0,15200000.0,19100000.0,5.0,0
686,79,0.013999999999999999,0.349,22.1,3.8,1.2,0.07,0.075,0.031,1.47,1.6,0.36,0.66,1.27,2.97,0.2,0.5,0.4,1.0,-0.3,4.1,1.4,0.8,14000000.0,14500000.0,14400000.0,15300000.0,1.0,1
687,80,0.091,0.192,13.3,3.6,-0.7,0.066,0.047,0.031,-0.84,-0.33,0.13,0.66,-0.24,1.95,-0.7,0.0,0.3,2.7,-0.2,2.2,1.4,-0.5,7400000.0,7600000.0,8900000.0,7000000.0,5.0,1
688,79,0.011000000000000001,0.27899999999999997,12.2,5.4,-0.6,0.1,0.05,0.031,0.14,0.12,0.22,0.66,0.75,-2.06,0.1,0.2,0.4,0.3,-0.1,2.9,1.4,-0.5,14000000.0,14400000.0,14100000.0,15200000.0,2.0,1
689,82,0.022000000000000002,0.4,18.5,2.7,-0.8,0.049,0.062,0.031,0.13,0.15,0.36,0.66,-0.86,-1.36,-0.5,0.3,0.3,1.1,-0.6,4.1,1.4,-0.6,5900000.0,5900000.0,7200000.0,5200000.0,1.0,1
690,81,0.004,0.462,16.1,4.0,2.8,0.07400000000000001,0.095,0.031,1.36,1.17,0.04,0.65,2.33,-2.06,0.8,-0.1,0.3,0.3,-0.1,2.9,1.4,2.0,21200000.0,21500000.0,18100000.0,23400000.0,4.0,1
691,68,0.016,0.488,10.8,7.7,-3.1,0.14300000000000002,0.005,0.031,-0.01,-0.66,0.14,0.65,1.08,-1.22,0.2,-0.1,0.6,2.4,-0.3,-4.4,1.4,-2.2,10000000.0,11900000.0,11200000.0,10400000.0,4.0,0
692,82,0.027000000000000003,0.306,14.0,6.0,-0.4,0.111,0.040999999999999995,0.031,3.67,0.99,0.29,0.65,2.99,1.82,1.2,0.4,0.3,2.3,-0.1,-2.1,1.4,-0.2,19300000.0,19300000.0,16100000.0,21300000.0,2.0,0
693,80,0.006,0.308,17.6,1.3,1.4,0.025,0.08199999999999999,0.031,-0.67,-0.19,-0.07,0.64,-0.14,2.97,-0.2,-0.4,0.3,1.0,-0.3,4.1,1.4,0.9,7200000.0,7400000.0,8600000.0,6900000.0,4.0,1
694,81,0.0,0.26,22.3,1.7,1.2,0.032,0.061,0.031,2.52,-0.73,0.19,0.64,0.31,2.78,1.0,-0.1,0.2,3.2,-0.6,3.8,1.4,0.7,9700000.0,9800000.0,10700000.0,10100000.0,9.0,1
695,78,0.114,0.312,13.3,4.0,-1.4,0.076,0.048,0.031,0.21,-0.22,0.2,0.63,0.87,1.66,0.0,0.2,0.3,0.6,-1.0,2.9,1.4,-1.0,9400000.0,9800000.0,9200000.0,9300000.0,8.0,0
696,81,0.134,0.217,12.4,1.7,1.1,0.032,0.055999999999999994,0.031,-0.94,0.21,-0.05,0.63,-0.02,1.54,-0.6,0.3,0.2,1.7,-0.3,2.9,1.4,0.7,8000000.0,8100000.0,8700000.0,7800000.0,7.0,1
697,82,0.043,0.20600000000000002,10.0,4.1,0.5,0.081,0.055,0.031,0.04,-0.35,0.02,0.61,1.31,-4.32,0.4,0.0,0.1,1.6,-0.8,-0.3,1.4,0.3,13700000.0,13700000.0,12100000.0,15700000.0,2.0,1
698,76,0.016,0.428,18.9,3.7,0.9,0.073,0.047,0.031,2.05,0.89,0.3,0.61,0.77,-2.92,0.3,0.4,0.3,1.9,0.0,-1.1,1.4,0.6,12100000.0,13000000.0,12600000.0,14200000.0,5.0,0
699,81,0.001,0.273,21.8,0.8,4.3,0.016,0.096,0.031,4.37,1.11,0.12,0.61,1.82,-1.36,1.1,0.0,0.1,1.1,-0.6,4.1,1.4,2.9,17700000.0,17900000.0,16100000.0,20900000.0,9.0,1
700,82,0.044000000000000004,0.33799999999999997,23.1,0.6,2.4,0.012,0.066,0.031,-0.4,0.38,0.04,0.61,0.59,1.66,-0.6,0.0,0.1,0.6,-1.0,2.9,1.4,1.6,7900000.0,7900000.0,7100000.0,7300000.0,5.0,0
701,82,0.003,0.222,17.3,0.7,0.3,0.013999999999999999,0.057,0.031,-1.46,-0.79,-0.2,0.6,-1.32,3.95,-0.7,-0.3,0.1,2.2,0.5,1.1,1.4,0.2,1600000.0,1600000.0,4200000.0,1500000.0,7.0,1
702,75,0.033,0.21600000000000003,14.6,-1.2,-0.8,-0.024,0.027999999999999997,0.031,-0.62,-0.33,-0.1,0.6,-1.39,0.54,-0.6,0.0,0.3,2.3,-0.9,-2.2,1.4,-0.5,-2800000.0,-3200000.0,1400000.0,-700000.0,3.0,0
703,69,0.01,0.16699999999999998,14.2,2.4,-0.9,0.048,0.024,0.031,-0.09,0.42,0.03,0.6,0.78,-2.76,0.3,0.2,0.4,-1.8,-0.5,-3.2,1.4,-0.6,7200000.0,8300000.0,6700000.0,6600000.0,1.0,0
704,82,0.004,0.295,13.9,3.0,0.9,0.062,0.037000000000000005,0.031,-1.69,0.29,-0.04,0.59,0.72,-1.84,-1.0,-0.5,0.1,-0.3,-0.2,-4.9,1.4,0.8,7000000.0,7000000.0,5000000.0,5900000.0,2.0,0
705,68,0.02,0.163,8.6,3.7,0.7,0.076,0.069,0.031,-1.59,-0.19,-0.02,0.59,0.62,-1.36,-0.8,0.0,0.4,1.1,-0.6,4.1,1.4,0.4,11900000.0,14200000.0,14000000.0,14300000.0,5.0,1
706,76,0.002,0.281,13.3,4.3,-0.2,0.08800000000000001,0.054000000000000006,0.031,1.1,-1.09,0.08,0.59,0.9,-0.32,0.4,-0.3,0.2,0.3,-0.5,1.0,1.4,-0.1,10200000.0,11000000.0,9900000.0,11100000.0,8.0,1
707,77,0.004,0.275,18.2,2.1,0.3,0.043,0.038,0.031,1.56,-0.19,0.07,0.59,0.88,5.23,0.9,0.0,0.2,4.0,-0.7,-0.9,1.4,0.1,7300000.0,7700000.0,7200000.0,7100000.0,6.0,0
708,81,0.05,0.318,17.9,0.1,0.5,0.003,0.035,0.031,-1.24,0.2,-0.15,0.59,-0.37,-1.22,-0.4,0.1,0.1,2.4,-0.3,-4.4,1.4,0.4,2900000.0,2900000.0,3100000.0,2200000.0,4.0,0
709,81,0.022000000000000002,0.214,11.2,3.6,-0.9,0.075,0.052000000000000005,0.031,-0.03,-0.26,0.02,0.59,-0.18,1.95,-0.1,0.1,0.1,2.7,-0.2,2.2,1.4,-0.6,6800000.0,6900000.0,7300000.0,6600000.0,4.0,1
710,82,0.001,0.32799999999999996,10.0,4.4,-1.0,0.091,0.049,0.031,-1.28,-0.26,-0.04,0.58,0.26,5.23,-0.5,-0.3,0.1,4.0,-0.7,-0.9,1.4,-0.6,4400000.0,4400000.0,4500000.0,3700000.0,2.0,0
711,75,0.003,0.313,15.4,5.5,-0.4,0.115,0.057999999999999996,0.031,1.22,0.24,0.32,0.58,1.7,1.54,0.1,0.2,0.2,1.7,-0.3,2.9,1.4,-0.2,15500000.0,16800000.0,15400000.0,19000000.0,2.0,1
712,80,0.006,0.547,14.1,3.3,-0.9,0.069,0.065,0.031,-1.02,-0.21,-0.07,0.58,-1.03,-2.06,0.2,0.1,0.1,0.3,-0.1,2.9,1.4,-0.8,4600000.0,4600000.0,5500000.0,4000000.0,5.0,1
713,82,0.009000000000000001,0.31,16.7,3.2,-0.4,0.066,0.025,0.031,3.85,-0.47,0.11,0.58,1.19,-1.84,1.5,0.1,0.0,-0.3,-0.2,-4.9,1.4,-0.2,9200000.0,9200000.0,6500000.0,8600000.0,6.0,0
714,76,0.003,0.242,14.7,2.5,1.4,0.053,0.048,0.031,0.79,1.22,0.0,0.58,1.21,-1.01,0.1,0.3,0.2,2.6,0.2,-2.7,1.4,1.0,12700000.0,13600000.0,12800000.0,15600000.0,2.0,1
715,77,0.004,0.382,14.1,5.3,-3.0,0.111,0.005,0.031,-0.97,-1.25,0.19,0.58,-0.87,-1.04,-0.7,-0.2,0.1,1.4,0.5,-3.7,1.4,-1.8,2700000.0,2900000.0,3900000.0,2300000.0,7.0,1
716,75,0.057,0.21600000000000003,16.1,0.7,-2.0,0.015,0.011000000000000001,0.031,-0.24,-0.35,0.03,0.58,-1.22,-1.84,-0.5,0.1,0.2,-0.3,-0.2,-4.9,1.4,-1.2,-2000000.0,-2300000.0,1300000.0,-300000.0,11.0,0
717,82,0.174,0.273,16.1,3.5,-2.9,0.073,0.015,0.031,-1.49,-0.62,0.35,0.58,-1.0,0.54,-0.9,0.0,0.0,2.3,-0.9,-2.2,1.4,-1.8,-1100000.0,-1100000.0,1400000.0,100000.0,5.0,0
718,76,0.006,0.3,15.7,3.5,1.9,0.07400000000000001,0.087,0.031,-0.34,0.48,0.05,0.57,1.26,2.78,0.1,0.0,0.1,3.2,-0.6,3.8,1.4,1.1,13300000.0,14300000.0,14000000.0,16800000.0,3.0,1
719,79,0.006,0.29600000000000004,16.2,1.0,0.7,0.022000000000000002,0.062,0.031,0.7,-0.5,-0.04,0.56,-0.32,1.95,0.2,-0.1,0.0,2.7,-0.2,2.2,1.4,0.4,5900000.0,6100000.0,6500000.0,5700000.0,3.0,1
720,75,0.002,0.27,18.2,3.1,2.5,0.069,0.086,0.031,4.03,0.72,0.2,0.55,2.2,1.54,1.1,0.2,0.1,1.7,-0.3,2.9,1.4,1.5,17400000.0,18900000.0,16700000.0,22700000.0,4.0,1
721,66,0.013000000000000001,0.131,9.9,1.9,1.8,0.042,0.079,0.031,0.72,-0.18,-0.15,0.54,0.03,1.84,-0.2,-0.1,0.3,3.5,0.2,3.1,1.4,1.1,9500000.0,11500000.0,13300000.0,12300000.0,9.0,1
722,71,0.002,0.306,22.9,-1.3,1.2,-0.027999999999999997,0.027000000000000003,0.031,0.1,-0.09,-0.17,0.54,-0.43,-1.22,0.0,0.0,0.2,2.4,-0.3,-4.4,1.4,0.7,2400000.0,2600000.0,3200000.0,2000000.0,8.0,0
723,81,0.004,0.44,14.1,4.3,1.9,0.09699999999999999,0.086,0.031,-0.38,1.45,0.05,0.54,1.52,2.97,0.1,0.0,-0.1,1.0,-0.3,4.1,1.4,1.1,13800000.0,13900000.0,13700000.0,18300000.0,5.0,1
724,77,0.028999999999999998,0.337,21.4,2.6,-0.5,0.059000000000000004,0.032,0.031,0.67,0.98,0.29,0.53,-0.07,-1.01,-0.1,0.4,0.0,2.6,0.2,-2.7,1.4,-0.2,6200000.0,6600000.0,6000000.0,6100000.0,0.0,1
725,82,0.0,0.428,13.9,4.5,4.0,0.102,0.106,0.031,-1.56,2.21,0.03,0.54,2.26,-2.06,0.1,-0.5,-0.1,0.3,-0.1,2.9,1.4,2.4,19200000.0,19200000.0,17200000.0,25600000.0,2.0,1
726,81,0.002,0.23199999999999998,25.0,-1.3,4.4,-0.028999999999999998,0.08900000000000001,0.031,0.42,2.03,-0.1,0.54,0.93,1.66,0.2,-0.5,-0.1,0.6,-1.0,2.9,1.4,2.6,9000000.0,9100000.0,7500000.0,9500000.0,7.0,0
727,72,0.001,0.282,16.6,1.5,0.6,0.034,0.07,0.031,0.11,0.42,-0.02,0.53,0.26,-3.54,0.1,-0.3,0.1,-0.6,-0.6,-0.9,1.4,0.4,6500000.0,7300000.0,5700000.0,6300000.0,3.0,0
728,82,0.095,0.177,10.6,3.8,-3.9,0.087,0.005,0.031,-1.05,-0.8,0.04,0.54,-0.73,-1.22,-0.1,0.0,-0.1,2.4,-0.3,-4.4,1.4,-2.3,900000.0,900000.0,1700000.0,900000.0,1.0,0
729,73,0.231,0.161,12.2,2.9,0.8,0.066,0.06,0.031,-1.29,0.6,0.05,0.53,0.47,1.84,-0.4,0.3,0.1,3.5,0.2,3.1,1.4,0.4,11300000.0,12600000.0,13600000.0,15100000.0,7.0,1
730,75,0.005,0.433,19.9,1.9,0.0,0.043,0.027999999999999997,0.031,1.35,-0.89,0.08,0.53,-0.27,-1.04,-0.2,-0.1,0.0,1.4,0.5,-3.7,1.4,0.1,5000000.0,5400000.0,5100000.0,4600000.0,4.0,1
731,58,0.023,0.314,16.9,0.5,-0.4,0.011000000000000001,0.036000000000000004,0.031,0.25,-0.05,0.02,0.53,0.05,-2.76,-0.5,-0.1,0.5,-1.8,-0.5,-3.2,1.4,-0.2,3400000.0,4500000.0,4900000.0,3200000.0,7.0,0
732,79,0.009000000000000001,0.33899999999999997,25.7,0.1,0.0,0.002,0.055,0.031,-0.34,0.33,0.16,0.53,-1.91,-2.06,-0.5,0.3,-0.1,0.3,-0.1,2.9,1.4,-0.1,-300000.0,-400000.0,2200000.0,200000.0,3.0,1
733,82,0.002,0.439,14.4,2.8,1.9,0.066,0.08,0.031,-1.65,-0.43,-0.02,0.52,0.28,-1.36,-0.5,-0.1,-0.1,1.1,-0.6,4.1,1.4,1.1,9300000.0,9300000.0,8700000.0,10800000.0,0.0,1
734,78,0.008,0.161,17.2,0.1,-0.5,0.002,0.033,0.031,-1.26,-0.19,0.03,0.52,-1.16,-3.54,-0.9,0.1,-0.1,-0.6,-0.6,-0.9,1.4,-0.3,-200000.0,-300000.0,1400000.0,400000.0,10.0,0
735,53,0.006,0.319,11.7,2.1,0.3,0.049,0.065,0.031,-0.86,-0.46,-0.08,0.52,0.46,1.66,-0.1,0.0,0.6,0.6,-1.0,2.9,1.4,0.1,6700000.0,9800000.0,10600000.0,8300000.0,0.0,0
736,82,0.083,0.457,16.4,1.3,-0.8,0.03,0.049,0.031,0.06,-1.05,0.02,0.51,-1.5,2.97,-0.2,-0.1,-0.2,1.0,-0.3,4.1,1.4,-0.5,-500000.0,-500000.0,1900000.0,100000.0,7.0,1
737,82,0.008,0.28600000000000003,19.5,0.2,2.0,0.005,0.068,0.031,-0.71,3.81,0.0,0.51,0.96,5.23,-0.5,1.0,-0.2,4.0,-0.7,-0.9,1.4,1.1,7400000.0,7400000.0,5900000.0,7500000.0,0.0,0
738,82,0.054000000000000006,0.316,14.1,1.9,1.4,0.047,0.078,0.031,-0.75,1.13,-0.08,0.5,0.02,1.84,-0.3,0.4,-0.2,3.5,0.2,3.1,1.4,0.8,8800000.0,8800000.0,9400000.0,10800000.0,4.0,1
739,70,0.09300000000000001,0.131,7.7,1.5,-1.9,0.036000000000000004,0.012,0.031,-2.74,-0.94,-0.19,0.5,-1.24,-1.22,-1.0,-0.1,0.0,2.4,-0.3,-4.4,1.4,-1.0,-1700000.0,-2100000.0,1200000.0,-300000.0,10.0,0
740,82,0.035,0.247,18.1,2.2,0.0,0.053,0.044000000000000004,0.031,-0.36,0.13,0.0,0.5,-0.26,3.95,0.2,0.1,-0.2,2.2,0.5,1.1,1.4,-0.1,5400000.0,5400000.0,5600000.0,5400000.0,1.0,1
741,82,0.04,0.221,13.9,2.7,-1.2,0.067,0.018000000000000002,0.031,0.39,-1.25,-0.01,0.5,-0.28,-1.04,0.4,-0.2,-0.2,1.4,0.5,-3.7,1.4,-0.6,4600000.0,4600000.0,3800000.0,4100000.0,5.0,1
742,75,0.013999999999999999,0.29100000000000004,16.8,1.5,1.2,0.038,0.057,0.031,0.82,0.61,-0.01,0.49,0.85,0.54,0.4,0.0,-0.1,2.3,-0.9,-2.2,1.4,0.7,7100000.0,7700000.0,5400000.0,7200000.0,1.0,0
743,82,0.001,0.37,15.2,2.8,-0.2,0.071,0.068,0.031,-0.74,-1.07,-0.09,0.48,-0.72,1.84,0.4,-0.1,-0.2,3.5,0.2,3.1,1.4,-0.2,5000000.0,5000000.0,5600000.0,5200000.0,1.0,1
744,81,0.003,0.379,14.9,1.8,0.9,0.046,0.091,0.031,-2.71,0.72,-0.09,0.48,-0.43,-1.36,-0.7,0.3,-0.2,1.1,-0.6,4.1,1.4,0.4,5500000.0,5600000.0,5100000.0,5500000.0,4.0,1
